wormbase_gseq,WBGeneID,wikigene_name,status,description
ZK6.10,WBGene00022644,dod-19,greater,up_ELT2_minus
ZK6.11,WBGene00022645,ZK6.11,greater,up_ELT2_minus
ZK418.7,WBGene00022736,ZK418.7,greater,up_ELT2_minus
ZK682.5,WBGene00022789,lron-2,greater,up_ELT2_minus
ZK993.2,WBGene00022838,ZK993.2,less,down_ELT2_minus
ZK1055.6,WBGene00022847,ZK1055.6,greater,up_ELT2_minus
ZK1055.7,WBGene00022848,ZK1055.7,greater,up_ELT2_minus
ZK1127.7,WBGene00022854,cin-4,greater,up_ELT2_minus
ZK1240.2,WBGene00022867,ZK1240.2,less,down_ELT2_minus
Y75B8A.39,WBGene00023483,Y75B8A.39,greater,up_ELT2_minus
F42A10.9,WBGene00023489,F42A10.9,less,down_ELT2_minus
T14E8.4,WBGene00043981,T14E8.4,greater,up_ELT2_minus
C34H4.3,WBGene00044073,tag-244,greater,up_ELT2_minus
C36B1.13,WBGene00044120,C36B1.13,less,down_ELT2_minus
C06C3.10,WBGene00044169,C06C3.10,less,down_ELT2_minus
T26H5.9,WBGene00044206,T26H5.9,less,down_ELT2_minus
Y68A4A.13,WBGene00044212,Y68A4A.13,less,down_ELT2_minus
Y102A5C.36,WBGene00044213,Y102A5C.36,greater,up_ELT2_minus
C17H1.10,WBGene00044237,pals-9,greater,up_ELT2_minus
W02A2.9,WBGene00044280,W02A2.9,greater,up_ELT2_minus
T25C12.4,WBGene00044284,spp-21,greater,up_ELT2_minus
F10C1.9,WBGene00044296,F10C1.9,less,down_ELT2_minus
D2062.12,WBGene00044301,lgc-28,greater,up_ELT2_minus
T20B3.15,WBGene00044331,clec-25,greater,up_ELT2_minus
K09F6.11,WBGene00044361,K09F6.11,less,down_ELT2_minus
Y14H12A.2,WBGene00044382,Y14H12A.2,less,down_ELT2_minus
C18H7.11,WBGene00044457,C18H7.11,less,down_ELT2_minus
K11H12.10,WBGene00044458,K11H12.10,greater,up_ELT2_minus
T26C12.6,WBGene00044469,clec-173,less,down_ELT2_minus
K11D12.13,WBGene00044535,K11D12.13,greater,up_ELT2_minus
B0432.14,WBGene00044640,B0432.14,less,down_ELT2_minus
B0205.13,WBGene00044644,B0205.13,greater,up_ELT2_minus
F44G3.14,WBGene00044661,fbxa-143,greater,up_ELT2_minus
F42G2.8,WBGene00044672,fbxa-4,greater,up_ELT2_minus
B0563.9,WBGene00044687,B0563.9,greater,up_ELT2_minus
F52E1.14,WBGene00044696,F52E1.14,less,down_ELT2_minus
Y55F3BR.11,WBGene00044757,Y55F3BR.11,less,down_ELT2_minus
F59C6.14,WBGene00044792,F59C6.14,less,down_ELT2_minus
Y43C5A.7,WBGene00044922,Y43C5A.7,less,down_ELT2_minus
K07A1.17,WBGene00044987,K07A1.17,greater,up_ELT2_minus
K12C11.6,WBGene00045052,K12C11.6,less,down_ELT2_minus
K12C11.7,WBGene00045053,K12C11.7,less,down_ELT2_minus
F39H2.5,WBGene00045237,mrt-1,greater,up_ELT2_minus
ZC250.4,WBGene00045305,ZC250.4,greater,up_ELT2_minus
ZC449.7,WBGene00045365,ZC449.7,less,down_ELT2_minus
C38C3.10,WBGene00045390,C38C3.10,less,down_ELT2_minus
T26F2.3,WBGene00045401,eol-1,greater,up_ELT2_minus
Y37H2A.14,WBGene00045416,Y37H2A.14,greater,up_ELT2_minus
F26G1.11,WBGene00045455,F26G1.11,less,down_ELT2_minus
R11D1.13,WBGene00045517,R11D1.13,less,down_ELT2_minus
Y70C5A.3,WBGene00050904,Y70C5A.3,less,down_ELT2_minus
C41G7.8,WBGene00077525,C41G7.8,greater,up_ELT2_minus
Y52B11A.12,WBGene00077539,Y52B11A.12,less,down_ELT2_minus
B0563.10,WBGene00077673,B0563.10,greater,up_ELT2_minus
F14D2.17,WBGene00077751,irld-27,less,down_ELT2_minus
E02H4.7,WBGene00077757,E02H4.7,less,down_ELT2_minus
M04D5.3,WBGene00077770,M04D5.3,greater,up_ELT2_minus
D1054.18,WBGene00077783,D1054.18,less,down_ELT2_minus
K11H3.8,WBGene00185002,K11H3.8,greater,up_ELT2_minus
F57C12.6,WBGene00194687,F57C12.6,greater,up_ELT2_minus
C04C3.9,WBGene00195067,C04C3.9,less,down_ELT2_minus
T24E12.13,WBGene00195077,T24E12.13,greater,up_ELT2_minus
F07C3.16,WBGene00202511,F07C3.16,greater,up_ELT2_minus
F27E5.9,WBGene00206354,F27E5.9,greater,up_ELT2_minus
M04C3.5,WBGene00206418,M04C3.5,less,down_ELT2_minus
F14D2.19,WBGene00206522,F14D2.19,less,down_ELT2_minus
R74.10,WBGene00206525,R74.10,greater,up_ELT2_minus
K08D10.14,WBGene00219216,K08D10.14,greater,up_ELT2_minus
T05C12.15,WBGene00219289,T05C12.15,less,down_ELT2_minus
Y54G11A.19,WBGene00235256,Y54G11A.19,less,down_ELT2_minus
Y50D4A.10,WBGene00235315,Y50D4A.10,greater,up_ELT2_minus
ZK250.13,WBGene00235352,ZK250.13,less,down_ELT2_minus
ZK993.5,WBGene00236809,ZK993.5,less,down_ELT2_minus
C55C2.5,WBGene00000006,aat-5,lessAbs,unchanged_ELT2_minus
F53E10.2,WBGene00000056,acr-17,lessAbs,unchanged_ELT2_minus
T04C12.6,WBGene00000063,act-1,lessAbs,unchanged_ELT2_minus
T04C12.4,WBGene00000065,act-3,lessAbs,unchanged_ELT2_minus
F32A6.4,WBGene00000092,ags-3,lessAbs,unchanged_ELT2_minus
Y48G1BL.2,WBGene00000227,atm-1,lessAbs,unchanged_ELT2_minus
F45E12.2,WBGene00000271,brf-1,lessAbs,unchanged_ELT2_minus
C54D2.5,WBGene00000367,cca-1,lessAbs,unchanged_ELT2_minus
ZC518.3,WBGene00000376,ccr-4,lessAbs,unchanged_ELT2_minus
ZC416.8,WBGene00000481,cha-1,lessAbs,unchanged_ELT2_minus
F26D11.10,WBGene00000488,che-7,lessAbs,unchanged_ELT2_minus
R07E5.8,WBGene00000520,cku-80,lessAbs,unchanged_ELT2_minus
F57B9.4,WBGene00000762,coq-2,lessAbs,unchanged_ELT2_minus
Y57G11C.11,WBGene00000763,coq-3,lessAbs,unchanged_ELT2_minus
C14A4.4,WBGene00000796,crn-3,lessAbs,unchanged_ELT2_minus
K10B4.6,WBGene00000857,cwn-1,lessAbs,unchanged_ELT2_minus
Y55D5A.5,WBGene00000898,daf-2,lessAbs,unchanged_ELT2_minus
