WBGeneID,altHyp,intestine_expression
WBGene00015664,greater,enriched
WBGene00015663,greater,enriched
WBGene00015295,greater,enriched
WBGene00019803,greater,enriched
WBGene00017244,greater,enriched
WBGene00004999,greater,enriched
WBGene00019846,greater,enriched
WBGene00043983,greater,enriched
WBGene00018465,greater,enriched
WBGene00015949,greater,enriched
WBGene00015947,greater,enriched
WBGene00019492,greater,enriched
WBGene00006890,greater,enriched
WBGene00019493,greater,enriched
WBGene00000391,greater,enriched
WBGene00019779,greater,enriched
WBGene00002234,greater,enriched
WBGene00019782,greater,enriched
WBGene00019986,greater,enriched
WBGene00018885,greater,enriched
WBGene00018886,greater,enriched
WBGene00017257,greater,enriched
WBGene00003613,greater,enriched
WBGene00020137,greater,enriched
WBGene00017048,greater,enriched
WBGene00017569,greater,enriched
WBGene00019572,greater,enriched
WBGene00018725,greater,enriched
WBGene00018724,greater,enriched
WBGene00018729,greater,enriched
WBGene00019730,greater,enriched
WBGene00019869,greater,enriched
WBGene00002057,greater,enriched
WBGene00016190,greater,enriched
WBGene00006718,greater,enriched
WBGene00219376,greater,enriched
WBGene00017012,greater,enriched
WBGene00016034,greater,enriched
WBGene00020788,greater,enriched
WBGene00044743,greater,enriched
WBGene00017582,greater,enriched
WBGene00004033,greater,enriched
WBGene00007130,greater,enriched
WBGene00007410,greater,enriched
WBGene00007409,greater,enriched
WBGene00009886,greater,enriched
WBGene00002067,greater,enriched
WBGene00011076,greater,enriched
WBGene00001784,greater,enriched
WBGene00011083,greater,enriched
WBGene00003410,greater,enriched
WBGene00009023,greater,enriched
WBGene00007650,greater,enriched
WBGene00008954,greater,enriched
WBGene00012162,greater,enriched
WBGene00013870,greater,enriched
WBGene00012326,greater,enriched
WBGene00008602,greater,enriched
WBGene00007593,greater,enriched
WBGene00011105,greater,enriched
WBGene00011102,greater,enriched
WBGene00011108,greater,enriched
WBGene00001252,greater,enriched
WBGene00164973,greater,enriched
WBGene00001250,greater,enriched
WBGene00007894,greater,enriched
WBGene00010341,greater,enriched
WBGene00010342,greater,enriched
WBGene00010902,greater,enriched
WBGene00011073,greater,enriched
WBGene00011074,greater,enriched
WBGene00003999,greater,enriched
WBGene00004002,greater,enriched
WBGene00004000,greater,enriched
WBGene00011902,greater,enriched
WBGene00164971,greater,enriched
WBGene00164972,greater,enriched
WBGene00011903,greater,enriched
WBGene00009818,greater,enriched
WBGene00003943,greater,enriched
WBGene00003757,greater,enriched
WBGene00010334,greater,enriched
WBGene00000522,greater,enriched
WBGene00007482,greater,enriched
WBGene00007327,greater,enriched
WBGene00007945,greater,enriched
WBGene00007942,greater,enriched
WBGene00013976,greater,enriched
WBGene00004197,greater,enriched
WBGene00012018,greater,enriched
WBGene00009259,greater,enriched
WBGene00001790,greater,enriched
WBGene00008368,greater,enriched
WBGene00007937,greater,enriched
WBGene00006965,greater,enriched
WBGene00010068,greater,enriched
WBGene00013399,greater,enriched
WBGene00045252,greater,enriched
WBGene00004859,greater,enriched
WBGene00012295,greater,enriched
WBGene00011361,greater,enriched
WBGene00010924,greater,enriched
WBGene00044144,greater,enriched
WBGene00010925,greater,enriched
WBGene00007691,greater,enriched
WBGene00007695,greater,enriched
WBGene00007692,greater,enriched
WBGene00008451,greater,enriched
WBGene00009635,greater,enriched
WBGene00009636,greater,enriched
WBGene00011824,greater,enriched
WBGene00011823,greater,enriched
WBGene00011821,greater,enriched
WBGene00011153,greater,enriched
WBGene00009057,greater,enriched
WBGene00011938,greater,enriched
WBGene00001560,greater,enriched
WBGene00011772,greater,enriched
WBGene00001149,greater,enriched
WBGene00004089,greater,enriched
WBGene00195213,greater,enriched
WBGene00008692,greater,enriched
WBGene00010522,greater,enriched
WBGene00010998,greater,enriched
WBGene00009796,greater,enriched
WBGene00009798,greater,enriched
WBGene00004238,greater,enriched
WBGene00003511,greater,enriched
WBGene00008213,greater,enriched
WBGene00008515,greater,enriched
WBGene00008519,greater,enriched
WBGene00007810,greater,enriched
WBGene00007811,greater,enriched
WBGene00001465,greater,enriched
WBGene00006610,greater,enriched
WBGene00000282,greater,enriched
WBGene00010031,greater,enriched
WBGene00010774,greater,enriched
WBGene00010117,greater,enriched
WBGene00006372,greater,enriched
WBGene00009852,greater,enriched
WBGene00007904,greater,enriched
WBGene00000103,greater,enriched
WBGene00010605,greater,enriched
WBGene00008462,greater,enriched
WBGene00004191,greater,enriched
WBGene00010571,greater,enriched
WBGene00008354,greater,enriched
WBGene00011984,greater,enriched
WBGene00007347,greater,enriched
WBGene00012445,greater,enriched
WBGene00009628,greater,enriched
WBGene00009629,greater,enriched
WBGene00000221,greater,enriched
WBGene00007772,greater,enriched
WBGene00013497,greater,enriched
WBGene00044141,greater,enriched
WBGene00001468,greater,enriched
WBGene00008607,greater,enriched
WBGene00011684,greater,enriched
WBGene00010357,greater,enriched
WBGene00009560,greater,enriched
WBGene00010983,greater,enriched
WBGene00010397,greater,enriched
WBGene00012407,greater,enriched
WBGene00012408,greater,enriched
WBGene00010336,greater,enriched
WBGene00003409,greater,enriched
WBGene00007175,greater,enriched
WBGene00007819,greater,enriched
WBGene00008621,greater,enriched
WBGene00004789,greater,enriched
WBGene00003624,greater,enriched
WBGene00019519,greater,enriched
WBGene00018374,greater,enriched
WBGene00017727,greater,enriched
WBGene00017726,greater,enriched
WBGene00020725,greater,enriched
WBGene00020366,greater,enriched
WBGene00021500,greater,enriched
WBGene00044770,greater,enriched
WBGene00016900,greater,enriched
WBGene00017340,greater,enriched
WBGene00271701,greater,enriched
WBGene00006602,greater,enriched
WBGene00002272,greater,enriched
WBGene00017625,greater,enriched
WBGene00001814,greater,enriched
WBGene00022389,greater,enriched
WBGene00019674,greater,enriched
WBGene00045052,greater,enriched
WBGene00045053,greater,enriched
WBGene00019673,greater,enriched
WBGene00022270,greater,enriched
WBGene00006461,greater,enriched
WBGene00021768,greater,enriched
WBGene00004409,greater,enriched
WBGene00021350,greater,enriched
WBGene00017398,greater,enriched
WBGene00017734,greater,enriched
WBGene00017979,greater,enriched
WBGene00000788,greater,enriched
WBGene00022130,greater,enriched
WBGene00022125,greater,enriched
WBGene00020989,greater,enriched
WBGene00002174,greater,enriched
WBGene00021128,greater,enriched
WBGene00004412,greater,enriched
WBGene00016663,greater,enriched
WBGene00021834,greater,enriched
WBGene00020917,greater,enriched
WBGene00000036,greater,enriched
WBGene00021635,greater,enriched
WBGene00020903,greater,enriched
WBGene00004890,greater,enriched
WBGene00001501,greater,enriched
WBGene00016838,greater,enriched
WBGene00015631,greater,enriched
WBGene00017089,greater,enriched
WBGene00077701,greater,enriched
WBGene00020034,greater,enriched
WBGene00002137,greater,enriched
WBGene00002138,greater,enriched
WBGene00002139,greater,enriched
WBGene00022474,greater,enriched
WBGene00016655,greater,enriched
WBGene00015692,greater,enriched
WBGene00002979,greater,enriched
WBGene00016734,greater,enriched
WBGene00045212,greater,enriched
WBGene00000150,greater,enriched
WBGene00000966,greater,enriched
WBGene00016332,greater,enriched
WBGene00003996,greater,enriched
WBGene00016155,greater,enriched
WBGene00001819,greater,enriched
WBGene00022748,greater,enriched
WBGene00020838,greater,enriched
WBGene00020378,greater,enriched
WBGene00020347,greater,enriched
WBGene00004486,greater,enriched
WBGene00022593,greater,enriched
WBGene00016943,greater,enriched
WBGene00016942,greater,enriched
WBGene00002258,greater,enriched
WBGene00002257,greater,enriched
WBGene00020400,greater,enriched
WBGene00020401,greater,enriched
WBGene00016260,greater,enriched
WBGene00016265,greater,enriched
WBGene00044988,greater,enriched
WBGene00007024,greater,enriched
WBGene00001644,greater,enriched
WBGene00010740,greater,enriched
WBGene00010644,greater,enriched
WBGene00007254,greater,enriched
WBGene00009918,greater,enriched
WBGene00008542,greater,enriched
WBGene00012140,greater,enriched
WBGene00007743,greater,enriched
WBGene00012031,greater,enriched
WBGene00000084,greater,enriched
WBGene00009187,greater,enriched
WBGene00009274,greater,enriched
WBGene00008311,greater,enriched
WBGene00000967,greater,enriched
WBGene00013955,greater,enriched
WBGene00001651,greater,enriched
WBGene00007973,greater,enriched
WBGene00008439,greater,enriched
WBGene00009453,greater,enriched
WBGene00004484,greater,enriched
WBGene00010133,greater,enriched
WBGene00010136,greater,enriched
WBGene00010134,greater,enriched
WBGene00010135,greater,enriched
WBGene00007856,greater,enriched
WBGene00001843,greater,enriched
WBGene00003182,greater,enriched
WBGene00077525,greater,enriched
WBGene00011494,greater,enriched
WBGene00004426,greater,enriched
WBGene00007303,greater,enriched
WBGene00003659,greater,enriched
WBGene00003564,greater,enriched
WBGene00004476,greater,enriched
WBGene00077521,greater,enriched
WBGene00003233,greater,enriched
WBGene00013716,greater,enriched
WBGene00004444,greater,enriched
WBGene00044792,greater,enriched
