WBGeneID,altHyp,intestine_expression
WBGene00020850,greater,enriched
WBGene00017501,greater,enriched
WBGene00017498,greater,enriched
WBGene00017490,greater,enriched
WBGene00021565,greater,enriched
WBGene00018760,greater,enriched
WBGene00016048,greater,enriched
WBGene00016052,greater,enriched
WBGene00000977,greater,enriched
WBGene00020182,greater,enriched
WBGene00018138,greater,enriched
WBGene00002055,greater,enriched
WBGene00016282,greater,enriched
WBGene00019105,greater,enriched
WBGene00022261,greater,enriched
WBGene00017867,greater,enriched
WBGene00003096,greater,enriched
WBGene00019097,greater,enriched
WBGene00015906,greater,enriched
WBGene00019473,greater,enriched
WBGene00015044,greater,enriched
WBGene00019565,greater,enriched
WBGene00016786,greater,enriched
WBGene00044637,greater,enriched
WBGene00020369,greater,enriched
WBGene00004195,greater,enriched
WBGene00018210,greater,enriched
WBGene00018206,greater,enriched
WBGene00015981,greater,enriched
WBGene00271832,greater,enriched
WBGene00044534,greater,enriched
WBGene00015739,greater,enriched
WBGene00005657,greater,enriched
WBGene00019644,greater,enriched
WBGene00015369,greater,enriched
WBGene00015371,greater,enriched
WBGene00016863,greater,enriched
WBGene00016431,greater,enriched
WBGene00020256,greater,enriched
WBGene00016061,greater,enriched
WBGene00015965,greater,enriched
WBGene00000071,greater,enriched
WBGene00015768,greater,enriched
WBGene00015767,greater,enriched
WBGene00017765,greater,enriched
WBGene00019599,greater,enriched
WBGene00045305,greater,enriched
WBGene00000802,greater,enriched
WBGene00017964,greater,enriched
WBGene00195164,greater,enriched
WBGene00023432,greater,enriched
WBGene00001581,greater,enriched
WBGene00019017,greater,enriched
WBGene00020264,greater,enriched
WBGene00002273,greater,enriched
WBGene00019376,greater,enriched
WBGene00019373,greater,enriched
WBGene00001506,greater,enriched
WBGene00017151,greater,enriched
WBGene00000784,greater,enriched
WBGene00004062,greater,enriched
WBGene00019653,greater,enriched
WBGene00003473,greater,enriched
WBGene00020517,greater,enriched
WBGene00020516,greater,enriched
WBGene00003844,greater,enriched
WBGene00005188,greater,enriched
WBGene00003786,greater,enriched
WBGene00017329,greater,enriched
WBGene00017312,greater,enriched
WBGene00017364,greater,enriched
WBGene00015399,greater,enriched
WBGene00015400,greater,enriched
WBGene00001500,greater,enriched
